properties{
  x = 0,
  y = 0,
  width = 256,
  height = 192,
  min_layer = 0,
  max_layer = 2,
  world = "perlshaw_town",
  floor = 1,
  tileset = "oceanset_inside",
  music = "same",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 256,
  height = 192,
  pattern = "11",
}

tile{
  layer = 0,
  x = 112,
  y = 64,
  width = 80,
  height = 80,
  pattern = "26_4",
}

tile{
  layer = 0,
  x = 104,
  y = 56,
  width = 8,
  height = 8,
  pattern = "27_8",
}

tile{
  layer = 0,
  x = 104,
  y = 144,
  width = 8,
  height = 8,
  pattern = "32_4",
}

tile{
  layer = 0,
  x = 192,
  y = 56,
  width = 8,
  height = 8,
  pattern = "28_4",
}

tile{
  layer = 0,
  x = 112,
  y = 144,
  width = 80,
  height = 8,
  pattern = "31_4",
}

tile{
  layer = 0,
  x = 104,
  y = 64,
  width = 8,
  height = 80,
  pattern = "33_4",
}

tile{
  layer = 0,
  x = 112,
  y = 56,
  width = 80,
  height = 8,
  pattern = "27_7",
}

tile{
  layer = 0,
  x = 192,
  y = 64,
  width = 8,
  height = 80,
  pattern = "29_4",
}

tile{
  layer = 0,
  x = 192,
  y = 144,
  width = 8,
  height = 8,
  pattern = "30_4",
}

tile{
  layer = 0,
  x = 224,
  y = 160,
  width = 32,
  height = 32,
  pattern = "38",
}

tile{
  layer = 0,
  x = 32,
  y = 160,
  width = 192,
  height = 32,
  pattern = "39",
}

tile{
  layer = 0,
  x = 224,
  y = 0,
  width = 32,
  height = 32,
  pattern = "aasf",
}

tile{
  layer = 0,
  x = 32,
  y = 0,
  width = 192,
  height = 32,
  pattern = "35",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 32,
  height = 32,
  pattern = "34",
}

tile{
  layer = 0,
  x = 0,
  y = 32,
  width = 32,
  height = 128,
  pattern = "41",
}

tile{
  layer = 0,
  x = 224,
  y = 32,
  width = 32,
  height = 128,
  pattern = "37",
}

tile{
  layer = 0,
  x = 0,
  y = 160,
  width = 32,
  height = 32,
  pattern = "40",
}

tile{
  layer = 0,
  x = 144,
  y = 160,
  width = 16,
  height = 32,
  pattern = "52_3",
}

tile{
  layer = 0,
  x = 136,
  y = 160,
  width = 8,
  height = 32,
  pattern = "50_4",
}

tile{
  layer = 0,
  x = 160,
  y = 160,
  width = 8,
  height = 32,
  pattern = "51_4",
}

tile{
  layer = 0,
  x = 40,
  y = 24,
  width = 24,
  height = 24,
  pattern = "64",
}

tile{
  layer = 0,
  x = 168,
  y = 24,
  width = 16,
  height = 16,
  pattern = "66",
}

tile{
  layer = 0,
  x = 88,
  y = 24,
  width = 48,
  height = 16,
  pattern = "68",
}

tile{
  layer = 0,
  x = 72,
  y = 8,
  width = 16,
  height = 16,
  pattern = "83",
}

tile{
  layer = 0,
  x = 144,
  y = 80,
  width = 16,
  height = 24,
  pattern = "77",
}

tile{
  layer = 0,
  x = 160,
  y = 80,
  width = 8,
  height = 24,
  pattern = "78",
}

tile{
  layer = 0,
  x = 136,
  y = 80,
  width = 8,
  height = 24,
  pattern = "76",
}

tile{
  layer = 0,
  x = 120,
  y = 88,
  width = 16,
  height = 16,
  pattern = "75",
}

tile{
  layer = 0,
  x = 72,
  y = 168,
  width = 16,
  height = 16,
  pattern = "85",
}

tile{
  layer = 0,
  x = 8,
  y = 120,
  width = 16,
  height = 16,
  pattern = "82",
}

tile{
  layer = 0,
  x = 136,
  y = 24,
  width = 24,
  height = 24,
  pattern = "64_2",
}

tile{
  layer = 0,
  x = 200,
  y = 8,
  width = 16,
  height = 16,
  pattern = "framed_photographs",
}

destination{
  name = "destination",
  layer = 0,
  x = 152,
  y = 173,
  direction = 1,
}

npc{
  name = "Ukemi",
  layer = 0,
  x = 120,
  y = 133,
  direction = 3,
  subtype = 1,
  sprite = "npc/woman_1a",
}

teletransporter{
  layer = 0,
  x = 144,
  y = 176,
  width = 16,
  height = 16,
  destination_map = "perlshaw",
  destination = "from_clothier",
}

npc{
  name = "Enio",
  layer = 0,
  x = 56,
  y = 85,
  enabled_at_start = false,
  direction = 3,
  subtype = 1,
  sprite = "npc/blue_haired_boy",
}

tile{
  layer = 1,
  x = 136,
  y = 176,
  width = 32,
  height = 16,
  pattern = "53_4",
}

tile{
  layer = 1,
  x = 40,
  y = 8,
  width = 24,
  height = 16,
  pattern = "65",
}

tile{
  layer = 1,
  x = 168,
  y = 8,
  width = 16,
  height = 16,
  pattern = "67",
}

tile{
  layer = 1,
  x = 88,
  y = 16,
  width = 48,
  height = 8,
  pattern = "69",
}

tile{
  layer = 1,
  x = 136,
  y = 8,
  width = 24,
  height = 16,
  pattern = "65_2",
}

